CUSTOMER_ID,LAST_PURCHASE_DATE,RECENCY_DAYS
16954,46:00.0,0
14446,34:00.0,0
17001,38:00.0,0
12662,59:00.0,0
18102,50:00.0,0
17490,08:00.0,0
14441,07:00.0,0
12423,10:00.0,0
17428,45:00.0,0
17581,21:00.0,0
14051,20:00.0,0
17364,00:00.0,0
15344,45:00.0,0
12680,50:00.0,0
16446,15:00.0,0
14422,26:00.0,0
12526,09:00.0,0
12518,13:00.0,0
16626,56:00.0,0
17389,38:00.0,0
12433,02:00.0,0
17754,20:00.0,0
15694,44:00.0,0
13069,39:00.0,0
15804,31:00.0,0
12748,20:00.0,0
13426,59:00.0,0
13113,49:00.0,0
16558,20:00.0,0
16705,08:00.0,0
13777,25:00.0,0
12985,46:00.0,0
12713,16:00.0,0
15910,51:00.0,0
15311,00:00.0,0
13077,24:00.0,1
13436,33:00.0,1
17405,12:00.0,1
17841,07:00.0,1
13468,39:00.0,1
16892,18:00.0,1
14730,39:00.0,1
12437,35:00.0,1
12358,26:00.0,1
13924,39:00.0,1
15898,23:00.0,1
13798,51:00.0,1
15189,22:00.0,1
17631,47:00.0,1
13890,36:00.0,1
17856,40:00.0,1
18210,02:00.0,1
15187,56:00.0,1
17554,15:00.0,1
16891,15:00.0,1
16322,41:00.0,1
13026,58:00.0,1
12955,29:00.0,1
14698,26:00.0,1
13521,50:00.0,1
17530,42:00.0,1
14719,43:00.0,1
14415,38:00.0,1
17144,57:00.0,1
13536,38:00.0,1
14520,46:00.0,1
17528,27:00.0,1
17668,25:00.0,1
13298,11:00.0,1
17243,26:00.0,1
17675,03:00.0,1
16161,10:00.0,1
15484,03:00.0,1
13954,50:00.0,1
16358,09:00.0,1
13314,29:00.0,1
15877,53:00.0,1
17451,02:00.0,1
14621,22:00.0,1
13680,47:00.0,1
13510,46:00.0,1
17315,15:00.0,1
15208,24:00.0,1
13471,44:00.0,1
16794,54:00.0,1
16442,43:00.0,1
15214,07:00.0,1
15156,22:00.0,1
14911,54:00.0,1
17491,18:00.0,1
15796,55:00.0,1
13102,52:00.0,1
14606,28:00.0,1
14191,23:00.0,1
18109,36:00.0,1
15159,05:00.0,1
17522,31:00.0,1
17644,43:00.0,1
14129,02:00.0,1
13263,59:00.0,1
15237,46:00.0,1
13013,01:00.0,1
15453,59:00.0,1
13860,57:00.0,1
17830,28:00.0,1
13098,14:00.0,1
13408,05:00.0,1
13599,10:00.0,1
14646,12:00.0,1
17757,31:00.0,1
13394,36:00.0,1
14702,29:00.0,1
17436,30:00.0,1
14569,58:00.0,1
12621,25:00.0,1
14056,36:00.0,1
17949,46:00.0,1
16688,24:00.0,1
14251,32:00.0,1
16401,15:00.0,1
14653,45:00.0,1
16210,36:00.0,1
14135,38:00.0,1
13269,53:00.0,1
16833,39:00.0,1
16523,06:00.0,1
14138,44:00.0,1
16933,54:00.0,1
14291,26:00.0,1
15520,58:00.0,1
17673,50:00.0,1
13404,37:00.0,1
15443,40:00.0,1
14217,53:00.0,1
13318,51:00.0,1
14796,31:00.0,1
15399,04:00.0,1
17677,56:00.0,1
14087,41:00.0,2
17017,32:00.0,2
17503,18:00.0,2
15701,39:00.0,2
14910,06:00.0,2
16271,45:00.0,2
17434,16:00.0,2
17835,48:00.0,2
14132,35:00.0,2
13882,16:00.0,2
16368,12:00.0,2
18237,49:00.0,2
12826,25:00.0,2
13870,23:00.0,2
16000,17:00.0,2
17511,12:00.0,2
13668,11:00.0,2
15883,05:00.0,2
13534,52:00.0,2
16539,41:00.0,2
14904,55:00.0,2
13949,35:00.0,2
14141,53:00.0,2
17049,48:00.0,2
14204,38:00.0,2
12747,34:00.0,2
15525,43:00.0,2
14527,19:00.0,2
15568,27:00.0,2
13756,44:00.0,2
16672,29:00.0,2
16525,07:00.0,2
14085,46:00.0,2
13769,08:00.0,2
13767,00:00.0,2
15136,26:00.0,2
18273,16:00.0,2
12935,25:00.0,2
15195,20:00.0,2
15984,16:00.0,2
17870,07:00.0,2
15498,48:00.0,2
16393,51:00.0,2
18272,43:00.0,2
17602,53:00.0,2
18219,43:00.0,2
12950,17:00.0,2
16779,54:00.0,2
17238,35:00.0,2
13089,02:00.0,2
15750,34:00.0,2
16817,03:00.0,2
16678,17:00.0,2
12912,55:00.0,2
16426,01:00.0,2
14397,22:00.0,2
15969,06:00.0,2
12720,03:00.0,2
14794,11:00.0,2
17735,47:00.0,2
15298,17:00.0,2
12615,02:00.0,2
17590,55:00.0,2
17097,05:00.0,2
17449,56:00.0,2
12569,24:00.0,2
17412,36:00.0,2
13267,12:00.0,2
14395,34:00.0,2
12347,52:00.0,2
14189,55:00.0,2
12839,33:00.0,2
16458,34:00.0,2
14534,19:00.0,2
14769,24:00.0,2
12783,56:00.0,2
15471,12:00.0,2
12471,43:00.0,2
17091,43:00.0,2
14708,21:00.0,2
12583,07:00.0,2
17232,21:00.0,2
16191,26:00.0,2
13685,41:00.0,2
12828,45:00.0,2
13743,09:00.0,2
14032,23:00.0,2
17266,12:00.0,2
17042,26:00.0,2
18092,14:00.0,2
14113,18:00.0,3
12478,56:00.0,3
15061,06:00.0,3
13755,26:00.0,3
14578,18:00.0,3
15822,50:00.0,3
13225,29:00.0,3
16013,36:00.0,3
13881,50:00.0,3
12442,22:00.0,3
12417,52:00.0,3
13323,12:00.0,3
13694,32:00.0,3
14572,40:00.0,3
14121,19:00.0,3
16015,58:00.0,3
18005,51:00.0,3
16528,45:00.0,3
16929,37:00.0,3
13994,05:00.0,3
18225,27:00.0,3
12749,56:00.0,3
18283,02:00.0,3
14140,05:00.0,3
16353,23:00.0,3
17593,30:00.0,3
14735,09:00.0,3
17884,33:00.0,3
16987,26:00.0,3
16201,02:00.0,3
14907,14:00.0,3
17666,06:00.0,3
12971,20:00.0,3
14562,05:00.0,3
16143,13:00.0,3
12682,00:00.0,3
15157,28:00.0,3
17744,11:00.0,3
14825,38:00.0,3
16495,20:00.0,3
12716,55:00.0,3
14737,16:00.0,3
14293,17:00.0,3
14418,39:00.0,3
13078,36:00.0,3
12820,12:00.0,3
17730,43:00.0,3
17290,38:00.0,3
16764,41:00.0,3
18154,41:00.0,3
12877,30:00.0,3
14216,56:00.0,3
