CUSTOMER_ID,RECENCY,FREQUENCY,MONETARY,RECENCY_SCORE,FREQUENCY_SCORE,MONETARY_SCORE,CUSTOMER_SEGMENT
14095,722,1,2.95,1,2,1,Lost Customers
16738,297,1,3.75,2,1,1,Lost Customers
13788,505,1,3.75,1,2,1,Lost Customers
14792,63,1,6.2,3,1,1,Regular Customers
15913,534,1,6.3,1,1,1,Lost Customers
15040,541,1,7.49,1,1,1,Lost Customers
18115,697,1,9.7,1,2,1,Lost Customers
17378,374,1,10.95,2,1,1,Lost Customers
17956,249,1,12.75,2,1,1,Lost Customers
16878,84,1,13.3,3,1,1,Regular Customers
14900,522,1,13.92,1,2,1,Lost Customers
14580,518,1,14.85,1,2,1,Lost Customers
12846,682,1,15.58,1,2,1,Lost Customers
16093,106,1,17,3,1,1,Regular Customers
13163,610,1,17.65,1,1,1,Lost Customers
15999,735,1,20.4,1,1,1,Lost Customers
13112,541,1,20.6,1,1,1,Lost Customers
17986,56,1,20.8,4,1,1,Regular Customers
16953,30,1,20.8,4,1,1,Regular Customers
12606,682,1,21,1,1,1,Lost Customers
16537,641,1,23.35,1,2,1,Lost Customers
14610,395,2,24.35,2,3,1,At Risk
15284,500,1,24.75,1,2,1,Lost Customers
17102,261,1,25.5,2,1,1,Lost Customers
17319,669,1,29.1,1,2,1,Lost Customers
15657,22,1,30,4,1,1,Regular Customers
15575,619,1,30.1,1,1,1,Lost Customers
16548,599,1,30.15,1,2,1,Lost Customers
14144,486,1,30.6,1,2,1,Lost Customers
13120,238,1,30.6,2,1,1,Lost Customers
16454,44,4,30.95,4,4,1,Loyal Customers
17129,520,1,31.85,1,2,1,Lost Customers
14977,725,1,31.93,1,2,1,Lost Customers
16941,611,1,33,1,1,1,Lost Customers
15871,437,1,33.1,1,1,1,Lost Customers
17533,434,1,34.8,1,1,1,Lost Customers
15744,77,1,34.8,3,1,1,Regular Customers
17831,33,1,35.4,4,1,1,Regular Customers
16417,492,1,35.7,1,1,1,Lost Customers
15940,311,1,35.8,2,1,1,Lost Customers
14993,563,1,36.13,1,2,1,Lost Customers
17352,696,1,36.25,1,2,1,Lost Customers
16162,252,1,37.4,2,1,1,Lost Customers
15693,659,1,37.5,1,2,1,Lost Customers
15455,597,1,38.25,1,2,1,Lost Customers
18019,51,1,38.45,4,1,1,Regular Customers
17246,546,2,38.92,1,2,1,Lost Customers
16659,189,1,39.12,2,1,1,Lost Customers
